Model,Degem,Grain Size
Clemex_256_Predictions,10,17.23076923076923
Clemex_256_Predictions,10,17.272727272727273
Clemex_256_Predictions,10,17.285714285714285
Clemex_256_Predictions,10,17.307692307692307
Clemex_256_Predictions,10,17.357142857142858
Clemex_256_Predictions,10,17.4
Clemex_256_Predictions,10,17.416666666666668
Clemex_256_Predictions,10,17.416666666666668
Clemex_256_Predictions,10,17.454545454545453
Clemex_256_Predictions,10,17.46153846153846
Clemex_256_Predictions,10,17.46153846153846
Clemex_256_Predictions,10,17.46153846153846
Clemex_256_Predictions,10,17.53846153846154
Clemex_256_Predictions,10,17.545454545454547
Clemex_256_Predictions,10,17.545454545454547
Clemex_256_Predictions,10,17.6
Clemex_256_Predictions,10,17.615384615384617
Clemex_256_Predictions,10,17.636363636363637
Clemex_256_Predictions,10,17.692307692307693
Clemex_256_Predictions,10,17.7
Clemex_256_Predictions,10,17.76923076923077
Clemex_256_Predictions,10,17.818181818181817
Clemex_256_Predictions,10,17.846153846153847
Clemex_256_Predictions,10,17.846153846153847
Clemex_256_Predictions,10,17.846153846153847
Clemex_256_Predictions,10,17.846153846153847
Clemex_256_Predictions,10,17.88888888888889
Clemex_256_Predictions,10,17.90909090909091
Clemex_256_Predictions,10,17.916666666666668
Clemex_256_Predictions,10,17.923076923076923
Clemex_256_Predictions,10,18.0
Clemex_256_Predictions,10,18.0
Clemex_256_Predictions,10,18.071428571428573
Clemex_256_Predictions,10,18.076923076923077
Clemex_256_Predictions,10,18.1
Clemex_256_Predictions,10,18.166666666666668
Clemex_256_Predictions,10,18.2
Clemex_256_Predictions,10,18.272727272727273
Clemex_256_Predictions,10,18.272727272727273
Clemex_256_Predictions,10,18.307692307692307
Clemex_256_Predictions,10,18.53846153846154
Clemex_256_Predictions,10,18.545454545454547
Clemex_256_Predictions,10,18.727272727272727
Clemex_256_Predictions,10,18.76923076923077
Clemex_256_Predictions,10,18.818181818181817
Clemex_256_Predictions,10,18.833333333333332
Clemex_256_Predictions,10,18.833333333333332
Clemex_256_Predictions,10,18.833333333333332
Clemex_256_Predictions,10,18.90909090909091
Clemex_256_Predictions,10,18.916666666666668
Clemex_256_Predictions,10,19.0
Clemex_256_Predictions,10,19.076923076923077
Clemex_256_Predictions,10,19.22222222222222
Clemex_256_Predictions,10,19.307692307692307
Clemex_256_Predictions,10,19.416666666666668
Clemex_256_Predictions,10,19.428571428571427
Clemex_256_Predictions,10,19.5
Clemex_256_Predictions,10,19.5
Clemex_256_Predictions,10,19.5
Clemex_256_Predictions,10,19.583333333333332
Clemex_256_Predictions,10,19.615384615384617
Clemex_256_Predictions,10,19.636363636363637
Clemex_256_Predictions,10,19.666666666666668
Clemex_256_Predictions,10,19.7
Clemex_256_Predictions,10,19.818181818181817
Clemex_256_Predictions,10,19.833333333333332
Clemex_256_Predictions,10,19.90909090909091
Clemex_256_Predictions,10,19.90909090909091
Clemex_256_Predictions,10,20.0
Clemex_256_Predictions,10,20.0
Clemex_256_Predictions,10,20.0
Clemex_256_Predictions,10,20.083333333333332
Clemex_256_Predictions,10,20.09090909090909
Clemex_256_Predictions,10,20.11111111111111
Clemex_256_Predictions,10,20.125
Clemex_256_Predictions,10,20.22222222222222
Clemex_256_Predictions,10,20.3
Clemex_256_Predictions,10,20.363636363636363
Clemex_256_Predictions,10,20.454545454545453
Clemex_256_Predictions,10,20.454545454545453
Clemex_256_Predictions,10,20.5
Clemex_256_Predictions,10,20.5
Clemex_256_Predictions,10,20.555555555555557
Clemex_256_Predictions,10,20.77777777777778
Clemex_256_Predictions,10,20.8
Clemex_256_Predictions,10,20.818181818181817
Clemex_256_Predictions,10,20.88888888888889
Clemex_256_Predictions,10,20.90909090909091
Clemex_256_Predictions,10,21.0
Clemex_256_Predictions,10,21.09090909090909
Clemex_256_Predictions,10,21.125
Clemex_256_Predictions,10,21.22222222222222
Clemex_256_Predictions,10,21.22222222222222
Clemex_256_Predictions,10,21.363636363636363
Clemex_256_Predictions,10,21.363636363636363
Clemex_256_Predictions,10,21.375
Clemex_256_Predictions,10,21.4
